node	Australia	Canada	Germany	Ireland	Singapore	UK	USA
ERR363476	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_44	0.0007822465209759766	0.002249841526852536	0.0033150131209332885	0.001338729392309859	0.0008040659975232035	0.47812806650348755	0.5133820369379176
SRR32028585	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_54	1.4326445468634284e-07	2.9369308413634144e-07	2.900429195895179e-07	1.466016721588076e-07	1.433284568429575e-07	2.0788170160343453e-06	0.9999969042523966
SRR21939534	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR26727983	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_75	0.0007202502456253157	0.002949091933159407	0.00538093436250063	0.0019618391633657115	0.0007691262253086582	0.8655687095761945	0.12265004849384582
SRR30795498	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_79	0.11202854671189601	0.007382862030280639	0.007249410190607539	0.0036754666043525863	0.0036142133708240956	0.049702060061053474	0.8163474410309857
Node_99	4.679591578513243e-13	9.605498164997711e-13	9.50671603369505e-13	4.796888664289207e-13	4.682073720730495e-13	0.9999999999868576	9.815238288161962e-12
Node_113	3.361461519373336e-07	6.851485436279934e-07	6.699614139570792e-07	3.405344527015421e-07	3.361650406033283e-07	0.9999909364452986	6.695599098523669e-06
Node_10	1.880333971794191e-15	3.830342246327328e-15	3.741645766719514e-15	1.9030081211890407e-15	1.8825044424185857e-15	0.9999999999999496	3.728933775944592e-14
SRR6045443	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414280	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413491	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412811	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413161	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413081	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_15	3.950666668413263e-12	8.04569695251306e-12	7.855941765959615e-12	3.996621331216646e-12	3.95066849101896e-12	0.9999999998940023	7.819813790299395e-11
ERR5413294	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413565	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR25621274	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_43	6.528482200376203e-05	0.0001365048238392655	0.0001393290438695407	6.90026321143183e-05	6.540274970091742e-05	0.9501503460092837	0.049374129919188464
SRR21939533	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_53	5.7226383900331564e-12	1.173140008252529e-11	1.1585517668227312e-11	5.855901739228509e-12	5.725193381747187e-12	8.303231126648154e-11	0.999999999876347
Node_70	2.5306348524727857e-11	5.362251777759851e-11	5.587651767993411e-11	2.7335451462022578e-11	2.5375102070749682e-11	0.9999999991591034	6.533806377874978e-10
Node_74	0.00035235824300864754	0.0010098475012717018	0.0014792234372908942	0.0005996054854088363	0.000361994981196139	0.9678508523111925	0.028346118040631207
SRR30795534	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051735	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_97	2.788743357154686e-15	5.6794901580779754e-15	5.545708025714105e-15	2.8212644663532128e-15	2.7887466621548008e-15	0.9999999999999252	5.520664333701805e-14
ERR5413069	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412076	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_108	3.3063029525878873e-12	6.7334287416826335e-12	6.574631952660681e-12	3.3447667120958696e-12	3.3063032028339644e-12	0.9999999999112905	6.54442123180813e-11
Node_9	1.813166411498774e-11	3.692588460890906e-11	3.6054993760723786e-11	1.834257118707257e-11	1.813166496637452e-11	0.9999999995135216	3.5889168164139866e-10
ERR5413975	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412631	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413687	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_40	6.484708533739316e-05	0.00013558866472662367	0.00013839245354275637	6.853922545932721e-05	6.496419275024294e-05	0.9501758531967962	0.04935181518138725
Node_42	6.296475062778348e-09	1.2824525661773076e-08	1.2524604296770191e-08	6.37096029461868e-09	6.296524788039422e-09	0.9999998108245785	1.4486233136994834e-07
SRR21939532	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR21939531	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_64	4.8872198180100126e-12	1.007782208925406e-11	1.0050737769670587e-11	5.047895267354887e-12	4.891334902788437e-12	0.9999999998591832	1.058618447595443e-10
Node_69	2.0559248775592478e-15	4.241735617186104e-15	4.234103897147938e-15	2.125397773436875e-15	2.05773053375268e-15	0.9999999999999406	4.469862245475591e-14
ERR5413007	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_73	1.069189491546807e-11	2.319088930247377e-11	2.5034174252658895e-11	1.1994671834331297e-11	1.0738599093598766e-11	0.9999999996031415	3.1520837897337535e-10
ERR5413084	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_96	1.573511311081002e-15	3.2045209089287554e-15	3.1289427848217165e-15	1.5918143407428876e-15	1.5735113370351475e-15	0.9999999999999578	3.114551937887706e-14
Node_107	1.4781109700425891e-15	3.0102343193763013e-15	2.9392386742390177e-15	1.495304434216649e-15	1.4781109994773928e-15	0.9999999999999604	2.9257210446616016e-14
ERR5414312	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_8	1.8131184630839948e-11	3.692490787371706e-11	3.605403964310876e-11	1.8342085921039985e-11	1.8131184928787823e-11	0.9999999995135345	3.58882172881375e-10
ERR5414309	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_39	6.445322442831002e-05	0.00013476318579842603	0.00013754666138430719	6.812130957582124e-05	6.456955559054561e-05	0.9502664721070175	0.04926407395620504
SRR12051598	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5413455	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_41	2.2974973403986647e-08	4.679097298239721e-08	4.568995004149867e-08	2.3243458327451045e-08	2.297502324373129e-08	0.9999993634001398	4.749254820781988e-07
Node_62	3.0393403054869095e-15	6.1962972435416374e-15	6.0612202425773256e-15	3.0801473257924966e-15	3.039556495414157e-15	0.999999999999918	6.063895313194313e-14
Node_63	3.3723085004884588e-12	6.8678458280900415e-12	6.70586875055848e-12	3.411535073229539e-12	3.3723085559469934e-12	0.9999999999095198	6.675026638368083e-11
Node_68	1.3913311261403955e-15	2.8335048578118808e-15	2.7666795116833344e-15	1.407516236441135e-15	1.3913311964240626e-15	0.9999999999999627	2.7539615015616825e-14
ERR5412756	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414003	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_72	4.0241651036665675e-12	8.280387789572828e-12	8.228552360585306e-12	4.1416992682834e-12	4.026968229135813e-12	0.9999999998854288	8.586930960197091e-11
ERR5412356	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_95	6.937108298949635e-12	1.4127708148370064e-11	1.379450834080998e-11	7.017800494208766e-12	6.937108412946417e-12	0.999999999813875	1.373106363721138e-10
ERR5413872	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_106	1.3912770911688772e-15	2.833393375241246e-15	2.7665682315335056e-15	1.4074603764637708e-15	1.3912771140317258e-15	0.9999999999999627	2.7538440302181483e-14
ERR5413589	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412818	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413873	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_38	6.456608596633968e-05	0.00013499102564886058	0.00013776570988255018	6.823381088402306e-05	6.468235044112945e-05	0.9502626533163313	0.0492671077008458
ERR5412977	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413682	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_59	2.782555202905813e-15	5.666788914972877e-15	5.533138721740056e-15	2.8149218569674468e-15	2.7825552514692807e-15	0.9999999999999253	5.507690709849485e-14
Node_61	1.3913180939717581e-15	2.833477051285719e-15	2.7666502245839217e-15	1.4075019994252118e-15	1.39131812251134e-15	0.9999999999999627	2.753926448496064e-14
ERR330770	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363256	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_67	1.4795657391213216e-15	3.0131968607260513e-15	2.9421310797348912e-15	1.4967759948368553e-15	1.4795657634362032e-15	0.9999999999999604	2.9285994171984264e-14
SRR6045700	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_71	3.3824158368853402e-12	6.8884298365557405e-12	6.7259672876882316e-12	3.421759977463248e-12	3.3824158924965628e-12	0.9999999999092487	6.695032734953487e-11
ERR5412771	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412170	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413845	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413177	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414028	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR12574872	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_37	1.565746543458128e-08	3.197312889649182e-08	3.136556422615456e-08	1.5911313495799105e-08	1.5660324587933632e-08	0.9999983994447847	1.4899874185971521e-06
SRR6045886	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412725	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5411955	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6388731	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_66	3.3616934998696467e-12	6.846227938753812e-12	6.6847607136559416e-12	3.4007965982504143e-12	3.3616935551120073e-12	0.9999999999098047	6.654015677179269e-11
ERR5413522	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494887	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR494888	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_35	4.1271123509219757e-13	8.427636352285252e-13	8.267353671407276e-13	4.193955911689273e-13	4.127863292693756e-13	0.9999999999321667	6.49187877875376e-11
Node_36	8.12815158325275e-09	1.6553319210582557e-08	1.6162915354105717e-08	8.222699719499655e-09	8.128151787303332e-09	0.9999997818899492	1.6091481315312052e-07
ERR5412621	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_65	3.3616052089435344e-12	6.846048130628797e-12	6.684585146277693e-12	3.400707280327412e-12	3.3616052641844442e-12	0.999999999909807	6.653840917283244e-11
ERR5411983	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_34	4.2061262095707795e-15	8.566128145179141e-15	8.364400488059536e-15	4.255200112127374e-15	4.2061321938423135e-15	0.9999999992844313	7.155390073551324e-10
ERR5412763	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414094	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412498	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412939	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412847	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_33	5.29731426117497e-11	1.0788199732239795e-10	1.0533761723314048e-10	5.358932435867168e-11	5.2973143484223566e-11	0.9999737361500217	2.62634772231672e-05
ERR5411944	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR30795551	0.0	0.0	0.0	0.0	0.0	0.0	1.0
