node	Argentina	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Norway	Portugal	Singapore	UK	USA
Node_209	2.6456583404966323e-14	2.469226381625599e-13	1.4349054573411737e-13	3.025849895819042e-13	7.448490352259896e-14	2.329390541337839e-14	9.318531822652458e-14	6.987782449178514e-14	6.082798046001248e-14	2.340206916923639e-14	2.821032751009912e-14	2.329374919315622e-14	1.673070829048429e-13	0.9999999999982244	4.922413225333934e-13
SRR14719157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR25361518	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR4326573	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Node_226	2.658331632096548e-16	1.7088662409375211e-15	1.426721608221299e-15	2.807977246082327e-15	7.634918734456875e-16	2.387692894369192e-16	0.9999999999999603	7.16267977321473e-16	5.205115023096969e-16	2.387686629373745e-16	2.388089392329507e-16	2.3876768832130666e-16	1.7137227714343427e-15	2.3881166977022245e-14	4.938555380682745e-15
SRR14719252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
SRR14719284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Node_231	5.563240900880069e-07	3.3541480468328646e-05	3.4500445611466724e-06	7.346690367757329e-06	1.517475587796748e-06	4.7456505792413365e-07	9.439020452955692e-06	1.4236158856497058e-06	9.772958506449359e-06	4.803582509817944e-07	7.37665559697197e-07	4.745618746557198e-07	0.000191298438921177	0.9997210089781263	1.8477822288905613e-05
Node_233	1.244894868513652e-10	8.003387236703406e-10	6.681281543490008e-10	1.3149955961786567e-09	3.5754800697404335e-10	1.1181714767899282e-10	4.4735301028986206e-10	3.3543276183805254e-10	2.431833509101199e-10	1.1181647271645013e-10	1.1181839571384145e-10	1.1181639786662873e-10	8.015889547320687e-10	0.9999999921469395	2.312734101010446e-09
Node_321	1.7122909114485976e-09	9.3682318100267e-06	4.5757251574051506e-07	1.546877055869111e-06	3.5922696113834887e-09	1.1234203638494231e-09	2.4281407547121734e-06	3.3700733543147556e-09	1.4665055071780673e-07	1.2190373366163392e-09	5.463995501970109e-09	1.123412814409615e-09	1.8584733987723316e-05	0.9999594513956217	7.998793203550169e-06
Node_359	3.451053925124886e-08	2.0541195632819964e-05	5.714082678052226e-07	1.131914553010839e-05	9.66609686881046e-08	3.022903783384838e-08	2.5740226309379242e-06	9.068206307147942e-08	3.3307184076366347e-07	3.04061208931538e-08	3.8275829186452426e-08	3.022883509707712e-08	2.1632861052168364e-05	0.9999263068629167	1.63704387345457e-05
ERR5412952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_12	2.1527049729874593e-14	1.3837219624388687e-13	1.1553389172935732e-13	2.273906400057147e-13	6.182824408850248e-14	1.9335747270660715e-14	7.734804931209878e-14	5.800401140458694e-14	4.204091793063615e-14	1.933562322273979e-14	1.933563029553426e-14	1.9335617610921135e-14	1.384215241124127e-13	0.9999999999986423	3.9991376845964614e-13
ERR5413148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6046443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
