node	Australia	Bangladesh	Canada	China	Czech Republic	Germany	Ireland	Portugal	Taiwan	UK	USA
Node_76	0.018604232520161267	0.01860424289433849	0.03188078618966195	0.05789859817861029	0.018612925437887413	0.018604239879142354	0.09680556291122298	0.0186042756452055	0.059923034466816086	0.42030667780828773	0.24015542406866597
SRR7800635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR7800524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_92	6.02133632750242e-12	6.0213396849378336e-12	1.0318347495619858e-11	1.8739119291534262e-11	6.021339730964919e-12	6.021338709266947e-12	1.2369774209413828e-11	6.021342179235813e-12	1.9312916990071496e-11	1.1298663993732944e-10	0.9999999997961665
Node_100	0.002406814002654989	0.002406821342111036	0.4570018609760924	0.3764450809840678	0.0024068153630717407	0.002406814954680218	0.006935667621547537	0.00240681634167628	0.007719648349981914	0.11809354466173176	0.02177011540238426
Node_102	0.003963685427283355	0.003963703853100428	0.40982924615529037	0.23652818805341266	0.003963687667703667	0.003963686995135544	0.013526691565430326	0.00396368927932375	0.012713179180212707	0.2717316151970313	0.035852626626075836
Node_104	1.545591790608198e-05	1.545592686745899e-05	3.497494250004905e-05	5.282660581696874e-05	1.5455926642288638e-05	1.545592401973433e-05	0.9992103919483014	1.5455932926653166e-05	4.957352376451919e-05	0.0002941902301921411	0.0002807631210626091
Node_105	4.360584825520696e-09	4.3605875051941245e-09	1.3611087797993303e-08	1.6988050475146926e-08	4.360587290270578e-09	4.360586550368087e-09	9.040847141819847e-09	4.360589063280962e-09	1.3986199770780594e-08	0.9999998851290125	3.9441867076157855e-08
SRR18969526	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR18969502	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR5413862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_2	2.3112540699551428e-12	2.2997804266010448e-12	3.940972415931631e-12	7.157187937132212e-12	2.299780444180553e-12	2.3150775913068307e-12	4.724490910128422e-12	2.2997813792690514e-12	9.341646886283595e-12	0.9999999990364197	9.268904089754769e-10
SRR30933985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR30933983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Node_9	3.319792394807432e-09	3.306630205678558e-09	5.66634026428565e-09	1.0290623203371178e-08	3.3066302309544194e-09	3.3241790022340363e-09	6.792885168160655e-09	3.306631575427065e-09	1.286032129164495e-08	0.9999997259272441	2.2189872254633116e-07
Node_12	0.0014625694065327755	0.0014291080238889391	0.0024489621862974036	0.004447552727698357	0.0014291080348130323	0.0014737171392338404	0.0029358489142520894	0.0014291086158869735	0.010314785521765447	0.4708976350464234	0.5017316043832077
Node_51	1.631446878050404e-11	1.6314477877284596e-11	2.795697647958937e-11	0.9999999993509316	1.631447800199237e-11	1.6314475233759743e-11	3.35152006440193e-11	1.6314484635443303e-11	5.232725165273718e-11	3.061308835137263e-10	1.4756573813938712e-10
Node_52	7.421806716229791e-09	7.421810854553137e-09	1.2718236713269449e-08	0.9999997047246505	7.421810911285417e-09	7.421809651956182e-09	1.5246793786679856e-08	7.421813928986535e-09	2.3804804985267263e-08	1.3926559778781462e-07	6.713086409022958e-08
ERR12065641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
