node	Australia	Canada	Denmark	Germany	Japan	Norway	Singapore	Spain	Sweden	Taiwan	UK	USA
Node_16	1.3172863131890436e-11	1.5649472866291687e-11	4.61099681384176e-12	2.5863260393990153e-12	2.6199948527517383e-12	5.2868811948998496e-12	1.9085927711187482e-11	2.5865773095161387e-12	2.5988979079638685e-12	5.241679193759288e-12	0.9999999999069483	1.9612008378969275e-11
SRR14719107	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_42	0.0009400170692117367	0.006404973606191686	0.00011861440994840691	0.00011043857478380902	0.00012177583809445909	0.00023663188358370455	0.002776287027052235	0.0019295696590517814	0.00011506015951781268	0.0020567964650321383	0.9841544925097105	0.0010353427978215864
Node_52	0.003388296181355769	0.0010613311142829594	0.0001303839227268961	6.587685197813824e-05	0.0001552070028029992	0.0002584381007165385	0.00044553501546736664	0.0002032559115218768	0.00010270255285647007	0.00029824665529933135	0.991683683574566	0.0022070431164255186
SRR25361465	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR373960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ERR5412883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_89	0.9679942636357143	0.0015869793546548106	0.00027371594913169447	0.0002706552366272841	0.00027493376453538427	0.0005465308505912738	0.0008143244011073155	0.00027069164866520894	0.00027228244783024586	0.000542542683560179	0.02513094321276106	0.002022136814821355
SRR14719212	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Node_117	0.00029158647316322007	0.0001764433530758208	4.0715321713272225e-05	2.3337185889480648e-05	4.740523916558509e-05	8.07863562767868e-05	0.0011995992782914597	2.3642788466525683e-05	3.3253509862120306e-05	5.1602580502005154e-05	0.9971436947861745	0.0008879331274192266
ERR5412228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5413022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_28	3.639772141475111e-06	4.37685328035985e-06	7.263260745936156e-07	7.262404253641167e-07	7.264676517596366e-07	1.4505033909618366e-06	2.238137712864954e-06	0.4999687216673864	7.259633782824265e-07	0.49998428160507546	2.700641501483285e-05	5.380048467635767e-06
Node_41	0.0009392997191586542	0.006405770557697933	0.00011853291580902686	0.00011036438660804064	0.00012169152255321837	0.00023646935633570186	0.0027765942539052717	0.001927870712090978	0.00011498183047561405	0.0020550083694570102	0.9841588173422495	0.0010345990336590987
ERR373956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
