node	Australia	Canada	China	Germany	Japan	Singapore	Spain	Taiwan	UK	USA
SRR14719147	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ERR5412201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n4949	1.1137867228874214e-11	5.680275789265277e-12	1.0894126073923628e-11	5.456551327448586e-12	1.6303683106130595e-11	1.1755284097508123e-11	5.450316406602433e-12	5.451164954641775e-12	0.999999999903304	2.4566713877265576e-11
SRR21939475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n52	1.3508653034461957e-10	6.880783204353013e-11	1.3198727494584868e-10	6.625792623662498e-11	1.9986008569009847e-10	1.5247347196400005e-10	6.601477721696026e-11	6.604900666036384e-11	1.235677399987817e-09	0.9999999978777857
SRR21939479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n53	1.0367280816773414e-05	5.285715829638909e-06	1.0137799382001819e-05	5.080448256125903e-06	1.521429780255138e-05	1.1090727217070574e-05	5.071593895867075e-06	5.072820281574441e-06	9.420907867762396e-05	0.9998384702378408
SRR32028583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR32028582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n66	1.1861329264049748e-14	6.0525943371827206e-15	1.1607346423817293e-14	5.8079459386010774e-15	1.7279876321153996e-14	1.206372106403477e-14	5.8078527533354e-15	5.8078223503994036e-15	0.9999999999998977	2.605252794931742e-14
ERR5414314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n99	1.1861329259750122e-14	6.05259433498871e-15	1.1607346419609735e-14	5.807945936495749e-15	1.7279876314889914e-14	1.2063721059661779e-14	5.807852751230106e-15	5.80782234829412e-15	0.9999999999998977	2.6052527939873608e-14
ERR5413643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n13	0.9999999999779562	7.56228454406558e-13	1.146378533860358e-12	5.732744436111149e-13	1.7068515351084335e-12	1.1974890320577284e-12	5.731563751824164e-13	1.0295467331011908e-12	1.2389739200653647e-11	2.6712410235434472e-12
n1313	0.99999999997696	8.185612567451838e-13	1.1466927387425557e-12	5.732995155248912e-13	1.707411833276116e-12	1.2001843657558398e-12	5.731387319041917e-13	1.2085926178236368e-12	1.3101808341004248e-11	2.7104785513196022e-12
SRR30795427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n1515	0.0002021724187501503	0.0001418440171445389	0.00013389807946777098	6.684533541655843e-05	0.00019944143776812775	0.0001419051107666168	6.679480965522382e-05	0.00027391637171668393	0.9984279802518874	0.0003452021674269095
ERR5413134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n1717	0.0005468280400739566	0.9905736383432059	0.00038394785121374114	0.00019175357289571076	0.0005718371032871857	0.0004055271839683305	0.0001916335853336172	0.0006812832892487763	0.005486254926752729	0.0009672961040200292
ERR5412736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n2525	1.0068470420043019e-11	5.137735040709205e-12	9.852877499618717e-12	4.930065647066325e-12	1.466799545599304e-11	1.0240270384751227e-11	4.929986546908626e-12	4.929960712690683e-12	0.9999999999131279	2.2114646793551793e-11
n32	0.02423222621850669	0.004791684027053398	0.009207987111828374	0.0193535768136265	0.022409185183874684	0.018762951553615077	0.004591474670931043	0.004612199699628586	0.8686510701473975	0.02338764457353819
n36	0.16550483599124854	0.0007931339931426578	0.0015281546001501153	0.16408493517130981	0.005581336615269054	0.0050814442282001975	0.0007586106376188533	0.0007664910762603869	0.6514373981356989	0.00446365955110148
SRR6046570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5414208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR21939477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
