node	Australia	Canada	China	Czech Republic	Denmark	Germany	Ireland	Japan	Netherlands	Singapore	South Korea	Spain	Taiwan	UK	USA
n42	1.0633787543994526e-10	5.419227098544e-11	1.259445700455424e-10	1.7721824416237027e-11	1.7721921913889577e-11	8.979770798054929e-11	1.777713309288097e-11	4.6191758188243435e-11	5.397496931965589e-11	1.4915415683711254e-10	3.544741289042807e-11	3.6347212821330167e-11	8.533208240561612e-11	0.9999999990181155	1.4594349495476118e-10
n5252	7.33877735465881e-14	2.520169579204475e-14	6.113222329774391e-14	8.237484829450476e-15	8.251083179531674e-15	4.463504864597443e-14	8.290530421043471e-15	2.184858826874155e-14	0.9999999999993361	7.644581092902348e-14	1.6458074052438954e-14	7.638905805105281e-14	4.4161583379693114e-14	1.307378502408176e-13	6.868259139611491e-14
ERR459847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
n5656	5.667163394886618e-16	2.7584707662588085e-16	6.437989830340263e-16	9.020268400411777e-17	9.021757356129003e-17	4.601354288112763e-16	9.051323257697498e-17	2.3551347540749085e-16	3.072675332116807e-16	7.667397774052818e-16	1.804047255637801e-16	0.9999999999999939	4.391097780314927e-16	1.1809208102400193e-15	7.437381437610679e-16
ERR3198393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ERR2759450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR1869533	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR340507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR340509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR374139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n70	2.80238348996711e-07	1.4282074669177018e-07	3.3285528716753807e-07	4.6703389441639564e-08	4.6708575339522395e-08	2.3663100598408633e-07	4.6859558444910655e-08	1.218722003771874e-07	1.4224673821490522e-07	0.9999971956079645	9.340984411348483e-08	9.580174741710033e-08	2.2653590655806532e-07	6.067846611762284e-07	3.8492402556763815e-07
SRR14719240	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SRR12051625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR12051668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n74	9.778828418681003e-12	4.983617605379321e-12	1.158191061995779e-11	1.6296984308017048e-12	1.6297076666536097e-12	8.257793474877964e-12	1.634785173471671e-12	4.247927265519865e-12	4.963536704659338e-12	1.3716408018208386e-11	3.2597426740670388e-12	3.342489612688214e-12	7.847455388462432e-12	2.0850271927570518e-11	0.9999999999022758
SRR26727934	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n7676	0.011350915005243878	0.04715094065462987	0.03499377264531313	0.001845842335200282	0.0019598337529175124	0.008929985617317027	0.0020873836356271676	0.061699185757835825	0.005697140806859735	0.09844220575208087	0.003552693185837841	0.0042226250876164235	0.14396118874959762	0.4194980320298961	0.1546082549840268
n95	0.011351312235260022	0.04707466198643311	0.034991451094818056	0.0018458437401926825	0.0019598230097471474	0.008930037822685836	0.0020873599154156864	0.06177110363575738	0.005697137060555179	0.09847045650575317	0.0035527398149869244	0.004222752614898014	0.14414895814764597	0.4192382716414432	0.15465809077440765
n102102	0.0055968507789313	0.0001760969934283627	0.0003187338374173099	4.110526940288974e-05	4.124413825650891e-05	0.00020776868597556985	4.152035128971426e-05	0.985971323742331	0.0001252850030819559	0.0004468274380278303	0.0004558528399971718	0.0022384241091069003	0.0003623498015111275	0.0010106240377062052	0.002965992973536028
n13	1.69945540125107e-05	8.660822526324605e-06	0.0008963534467468272	2.8322410801506322e-06	2.8322566618908925e-06	0.0004093756881864031	2.8410803227938606e-06	7.382208063492762e-06	8.626094120814309e-06	2.3837305633826267e-05	5.665083719108279e-06	5.808886652056654e-06	1.3637480180948723e-05	0.9985718285538799	2.3324298212995577e-05
