node	Canada	China	Czech Republic	Denmark	Germany	Ireland	Singapore	Switzerland	Taiwan	UK	USA
Node_200	2.6729128142213248e-11	1.7638491711097053e-11	1.7929101887832892e-11	8.818674601094008e-12	1.7904150294732145e-11	8.842700684735896e-12	8.818682508021623e-12	8.818672603997301e-12	8.818673140936711e-12	0.9999999998237176	5.196402260090395e-11
Node_213	4.7447343545422565e-09	3.0363778381189802e-09	3.0866170839747766e-09	1.5180905804716e-09	3.0821096302205433e-09	1.5222265502103967e-09	1.518091941609512e-09	1.5180902366814235e-09	1.5180903291128485e-09	0.9999998215417693	1.5691380224158673e-07
Node_222	2.315460672926691e-07	1.526997238776702e-07	1.5521580798458164e-07	7.634491648210879e-08	1.5499957995557716e-07	7.655291478480553e-08	7.63449849338613e-08	7.634489919286946e-08	7.63449038412538e-08	0.9999984554659233	4.681402785141001e-07
ERR5412236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR5412281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_66	2.3243634551810487e-14	1.533842254433743e-14	1.5591136991249176e-14	7.668714509613936e-15	1.5569439100348374e-14	7.689607578535135e-15	7.668721385473837e-15	7.668712772939818e-15	7.668713239862028e-15	0.9999999999998467	4.518356749021877e-14
ERR5413793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
SRR6046559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_68	2.4621301016652227e-15	1.6247541568550455e-15	1.6515234577352569e-15	8.123244578256641e-16	1.6492250637293438e-15	8.145375993974948e-16	8.123251861653564e-16	8.123242738648633e-16	8.12324323324565e-16	0.9999999999999839	4.786162911411997e-15
ERR5413317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_174	2.4621370380656097e-15	1.624758734170174e-15	1.651528110465811e-15	8.123267463349903e-16	1.6492297099847805e-15	8.145398941417555e-16	8.123274746767279e-16	8.123265623736648e-16	8.123266118335057e-16	0.9999999999999839	4.786176395160331e-15
Node_179	1.0557720429878094e-09	2.7496290187286624e-11	2.794931655220839e-11	1.374725457655662e-11	2.7910420013465493e-11	1.3784708355411516e-11	1.3747266902507146e-11	1.3747251463322706e-11	1.3747252300346758e-11	0.9999999987111003	8.099793979655452e-11
Node_182	0.9999913963566686	5.052074591552553e-08	5.135312111058405e-08	2.5258736752035965e-08	5.128165393554988e-08	2.5327553048060487e-08	2.5258759399317123e-08	2.525873103188614e-08	2.5258732569805587e-08	8.175302441059661e-06	1.4882285643545436e-07
ERR5411972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_185	1.4494629716625484e-12	9.545880422954449e-13	9.703157495873405e-13	4.77263105087529e-13	9.689653774681373e-13	4.785633870233957e-13	4.772635330072596e-13	4.772629970054664e-13	4.772630260644102e-13	0.9999999999904572	2.8120100259887327e-12
Node_191	7.203061291812399e-08	4.753284048535641e-08	4.831598721795049e-08	2.37648808056725e-08	4.824874677067377e-08	2.3829627158135326e-08	2.3764902113544902e-08	2.3764875423824818e-08	2.3764876870788213e-08	3.1578503966628777e-06	0.9999965071322535
Node_193	1.7516834130419497e-09	1.1559319373559318e-09	1.1749769663089588e-09	5.779285317315904e-10	1.1733417729748893e-09	5.795030721098796e-10	5.779290499091253e-10	5.779284008526069e-10	5.779284360407296e-10	0.9999999626457705	2.920707798189828e-08
ERR5413948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Node_199	9.982489824596697e-12	6.58742272851771e-12	6.695956502916079e-12	3.293498018659974e-12	6.686637866667115e-12	3.3024710063763936e-12	3.2935009716491263e-12	3.293497272807072e-12	3.293497473337079e-12	0.9999999999341656	1.9405418016685977e-11
Node_205	4.923177070385199e-07	3.2478473215916897e-07	3.3013606777636037e-07	1.6238184733863613e-07	3.296764118642721e-07	1.628242494027324e-07	1.6238199293211616e-07	1.6238181056528237e-07	1.623818204521664e-07	0.9999821735683504	1.553716501006899e-05
Node_212	4.890024379826329e-08	3.217473850853122e-08	3.2705058184941974e-08	1.608632721716847e-08	3.265933184003981e-08	1.613015369458358e-08	1.608634164035923e-08	1.6086323574223083e-08	1.6086324553665392e-08	0.9999995307091768	2.423759800536435e-07
Node_217	2.583834470452555e-11	1.7050665822710914e-11	1.733159103362127e-11	8.52478069470539e-12	1.7307470985345475e-11	8.548006077573576e-12	8.524788338124333e-12	8.524778764164622e-12	8.52477928320982e-12	0.9999999998295972	5.0227483685000083e-11
Node_219	2.2029609249774328e-11	1.4537289764224949e-11	1.4776804821161736e-11	7.2681740656916886e-12	1.475624022052883e-11	7.287975880128176e-12	7.268180582422302e-12	7.268172419724848e-12	7.2681728622595e-12	0.9999999998547157	4.282364584050877e-11
