Type,time,mean,median,upper,lower,rate,year
eDCC10,175452.38,1613044.93,1252749.14,4936200.5,298414.784,6.09841E-05,2009.300188
eDCC10,177923.54,1599319.25,1255314.88,4765318.02,283640.222,6.09841E-05,2009.149486
eDCC10,180394.7,1608545.85,1263687.26,4936056.4,220465.74,6.09841E-05,2008.998785
eDCC10,182865.861,1595673.2,1273708.92,4919748.41,159344.794,6.09841E-05,2008.848083
eDCC10,185337.021,1580993.73,1274497.75,4629251.62,123067.613,6.09841E-05,2008.697382
eDCC10,187808.181,1568420.91,1274562.08,4556316.73,97520.1761,6.09841E-05,2008.54668
eDCC10,190279.341,1558737.4,1279388.02,4422583.91,87146.7168,6.09841E-05,2008.395979
eDCC10,192750.502,1551956.07,1283525.12,4381494.36,72735.2537,6.09841E-05,2008.245277
eDCC10,195221.662,1536755.77,1280720.81,4344760.2,66161.4921,6.09841E-05,2008.094575
eDCC10,197692.822,1534614.33,1287992.81,4341042.16,60671.6544,6.09841E-05,2007.943874
eDCC10,200163.983,1531841.96,1292980.46,4289094.31,56148.0846,6.09841E-05,2007.793172
eDCC10,202635.143,1528723.7,1286537.88,4332150.04,53869.0463,6.09841E-05,2007.642471
eDCC10,205106.303,1520881.64,1280720.81,4293434.57,48322.8682,6.09841E-05,2007.491769
eDCC10,207577.463,1517427.07,1280720.81,4342254.62,43371.7978,6.09841E-05,2007.341068
eDCC10,210048.624,1521782.82,1293847.01,4355629.92,41188.5798,6.09841E-05,2007.190366
eDCC10,212519.784,1522197.5,1296599.54,4422583.91,39842.8592,6.09841E-05,2007.039664
eDCC10,214990.944,1518379.49,1296599.54,4422583.91,39493.297,6.09841E-05,2006.888963
eDCC10,217462.105,1512855.22,1293847.01,4422583.91,39442.0626,6.09841E-05,2006.738261
eDCC10,219933.265,1504370.54,1280720.81,4459645.09,38264.642,6.09841E-05,2006.58756
eDCC10,222404.425,1499415.42,1280696.59,4512662.59,37621.4515,6.09841E-05,2006.436858
eDCC10,224875.585,1491854.15,1279388.02,4546024.82,36817.8299,6.09841E-05,2006.286156
eDCC10,227346.746,1485012.35,1274562.08,4556316.73,36082.7206,6.09841E-05,2006.135455
