node	Australia	Canada	China	Denmark	Germany	Netherlands	Norway	Singapore	Spain	Taiwan	Thailand	UK	USA
n68	1.712953100725462e-11	0.9999999997317542	7.432051802942681e-12	4.293896817367929e-12	9.816811223325996e-12	4.287984456466671e-12	8.576434761495847e-12	4.287982010966468e-12	4.295478595382939e-12	4.2879849275657096e-12	4.2880016165146395e-12	2.4900098800508575e-11	1.7464949657288852e-10
n69	8.621615097933287e-07	9.253713089124978e-07	3.7385245654927825e-07	2.1599197371485515e-07	4.938125235993675e-07	2.156945598307377e-07	4.314126274192249e-07	2.1569443686342403e-07	2.160718008197753e-07	2.1569458585203029e-07	2.1570036771591385e-07	1.2530805993610782e-06	0.9999943654612495
ERR7253813	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n55	1.9892189361059518e-16	4.979432152395166e-17	8.646754535237709e-17	6.463505845890592e-17	0.9999999999999988	5.1669405777554636e-17	9.994097052407645e-17	5.446601723983238e-17	4.991897989440638e-17	5.33322484150126e-17	4.97960857888952e-17	3.0490243488159567e-16	3.693983667525334e-16
ERR2759447	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n77	0.00024408218763974097	6.073284795768006e-05	0.0001338581051364058	0.00264834825602013	0.9819914610981915	0.0011750980125940474	0.00018235130603219072	0.0028424495156476205	6.74874453446301e-05	0.0006804910608436205	6.106753683242105e-05	0.003112105196776132	0.0068004674309837644
ERR369135	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR369142	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ERR363365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR363369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR337782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ERR337775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
n19	3.538627418472504e-14	8.858300877942737e-15	1.5353345219819865e-14	8.870457073328088e-15	0.9999999999997544	8.858243153848272e-15	1.7717448611592094e-14	8.858238101825564e-15	8.873724549096247e-15	8.858244125200837e-15	8.858274633638497e-15	5.143890462836516e-14	6.381165910595888e-14
n21	8.151644983426791e-13	2.0406139266435181e-13	3.53682387939401e-13	2.0434142494073093e-13	0.999999999994339	2.0406006292185896e-13	4.0814229364708485e-13	2.040599465425664e-13	2.0441669509220373e-13	2.0406008529810248e-13	2.040607880958755e-13	1.1849557449218148e-12	1.4699767150388817e-12
n2626	1.8590725686589817e-16	4.653845183345657e-17	8.066117044751061e-17	4.660231628344354e-17	0.999999999999999	4.653814857101116e-17	9.308135275413797e-17	4.6538122029429574e-17	4.661948247187029e-17	4.653815367416035e-17	4.653831395494586e-17	2.7024223024157014e-16	3.3524440687153345e-16
ERR4326498	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n4848	2.8008629570011697e-09	5.908289496608305e-10	1.0239913567959816e-09	5.916149862770777e-10	1.3525645556133055e-09	5.908003785984337e-10	1.1816649420254304e-09	5.90800041656348e-10	5.918329243782118e-10	5.908004435069556e-10	5.908027435374238e-10	3.4420923299960542e-09	0.9999999860613434
SRR21939589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n54	0.9877514505961698	0.0001051412612715604	0.00018222966416641962	0.0001052839131820328	0.0002407026016862955	0.00010513894550661283	0.00021028931290881245	0.00010513888554405781	0.00010532269592194666	0.00010513895704377436	0.00010513933664724675	0.00061128135285852	0.010267742477093084
SRR21939552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n5656	8.244446733596427e-06	1.924462970901338e-06	3.3286844826258415e-06	1.923137342219051e-06	4.396777459809408e-06	1.920489249665513e-06	3.841187770780359e-06	1.9204881547737876e-06	1.9238479780509163e-06	1.9204894802428423e-06	1.920538600756805e-06	1.2984809372894667e-05	0.9999537506404038
SRR12574873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
SRR26727931	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n6868	7.094589951247417e-17	0.9999999999999992	3.078172938434285e-17	1.778426600204744e-17	4.065881582738083e-17	1.7759778463196208e-17	3.552148629667535e-17	1.775976833449751e-17	1.7790817128519393e-17	1.7759780412501916e-17	1.7759845555952128e-17	1.0312964794012924e-16	4.256256600234107e-16
SRR12051859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
n6969	8.185325029119189e-07	8.766986806458736e-07	3.5493452070015696e-07	2.0506220846211992e-07	4.6882428653395895e-07	2.047798445332795e-07	4.0958200707168834e-07	2.047797277883133e-07	2.051379954137018e-07	2.0477986923166122e-07	2.0478534540776648e-07	1.1896699375355528e-06	0.9999946524330738
n6	1.8590643716397296e-16	4.6538246626502493e-17	8.066081553208917e-17	4.6602180825292163e-17	0.999999999999999	4.653795225602314e-17	9.308094396692285e-17	4.653793897240868e-17	4.6619277078477045e-17	4.6537965242012126e-17	4.653810875741146e-17	2.7024111327960976e-16	3.35242979366687e-16
n66	1.8590643716397296e-16	4.6538246626502493e-17	8.066081553208917e-17	4.6602180825292163e-17	0.999999999999999	4.653795225602314e-17	9.308094396692285e-17	4.653793897240868e-17	4.6619277078477045e-17	4.6537965242012126e-17	4.653810875741146e-17	2.7024111327960976e-16	3.35242979366687e-16
n8	0.0002438476483987186	6.0674682823438676e-05	0.00013371482652046497	0.0026444473138397327	0.9820045149991086	0.0011733849236326434	0.00018214455870354325	0.0028382602730064447	6.741930484547535e-05	0.0006795125037539869	6.100887456287574e-05	0.003107669448245975	0.006803400642558026
SRR14719256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
n1919	6.208290179199435e-10	1.5541309056209724e-10	2.693643920329066e-10	1.5562636305248521e-10	0.9999999956885979	1.5541207783064284e-10	3.1084103864854907e-10	1.554119891962081e-10	1.5568368874568994e-10	1.5541209487223964e-10	1.554126301221018e-10	9.024619114263762e-10	1.1195337900777522e-09
n2020	4.042729814759831e-10	1.0120228222005873e-10	1.754053736654607e-10	1.0134116152992867e-10	0.9999999971924908	1.0120162274707551e-10	2.0241423939971955e-10	1.0120156502988424e-10	1.0137849101717491e-10	1.0120163384426484e-10	1.0120198238959916e-10	5.876673883950158e-10	7.290207933486175e-10
n2121	9.731745278621653e-11	2.436162883270243e-11	4.222395498164404e-11	2.43950601558443e-11	0.9999999993241703	2.4361470082962014e-11	4.872558664227817e-11	2.4361456189156852e-11	2.4404046189487595e-11	2.4361472754301054e-11	2.4361556656875974e-11	1.4146454486107722e-10	1.7549143743876178e-10
n2222	1.9908370567739572e-10	4.983693269290476e-11	8.637814888738351e-11	4.990532362902432e-11	0.9999999986174452	4.983660793628903e-11	9.9678629807129e-11	4.9836579513533003e-11	4.992370648666198e-11	4.9836613401085735e-11	4.9836785041784626e-11	2.8939604363453906e-10	3.590053446704009e-10
n27	1.8590725683832038e-16	4.6538451826829363e-17	8.066117041458332e-17	4.660231627662578e-17	0.999999999999999	4.653814856438323e-17	9.30813527395047e-17	4.6538122022800886e-17	4.661948245614051e-17	4.653815366748979e-17	4.653831394806741e-17	2.702422301658234e-16	3.3524440682314097e-16
ERR4326493	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
